,Unnamed: 0,Reference,Bibliography,Instance number,First Layer,Counter Electrode,Reference Electrode,WE area(cm2),Power(W),Wavelength(nm),Intensity(mW/cm2),AM1.5G,ElectrolyteType,Electrolyte Molarity (M),pH,BandGap(eV),Bias vs what,Experimental Bias (V),correction factor, RHE bias (V vs RHE),PhotocurrentDensity(mA/cm2)
1913,2789,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.356,0.197,0.966,0.214
1914,2790,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.414,0.197,1.024,0.239
1915,2791,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.47,0.197,1.08,0.258
1916,2792,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.532,0.197,1.142,0.274
1917,2793,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.593,0.197,1.203,0.284
1918,2794,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.66,0.197,1.27,0.292
1919,2795,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.734,0.197,1.344,0.298
1920,2796,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.821,0.197,1.431,0.305
1921,2797,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.905,0.197,1.515,0.311
1922,2798,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",493,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.989,0.197,1.599,0.318
1923,2799,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.015,0.197,0.625,0.041
1924,2800,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.073,0.197,0.683,0.089
1925,2801,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.111,0.197,0.721,0.132
1926,2802,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.147,0.197,0.757,0.172
1927,2803,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.18,0.197,0.79,0.21
1928,2804,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.219,0.197,0.829,0.247
1929,2805,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.284,0.197,0.894,0.283
1930,2806,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.357,0.197,0.967,0.303
1931,2807,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.438,0.197,1.048,0.319
1932,2808,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.523,0.197,1.133,0.325
1933,2809,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.605,0.197,1.215,0.329
1934,2810,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.69,0.197,1.3,0.334
1935,2811,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.794,0.197,1.404,0.338
1936,2812,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.876,0.197,1.486,0.339
1937,2813,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",494,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.38,Ag/AgCl,0.981,0.197,1.591,0.341
1938,2814,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.015,0.197,0.625,0.056
1939,2815,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.043,0.197,0.653,0.098
1940,2816,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.068,0.197,0.678,0.138
1941,2817,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.093,0.197,0.703,0.176
1942,2818,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.118,0.197,0.728,0.215
1943,2819,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.143,0.197,0.753,0.252
1944,2820,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.168,0.197,0.778,0.29
1945,2821,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.196,0.197,0.806,0.329
1946,2822,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.229,0.197,0.839,0.369
1947,2823,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.268,0.197,0.878,0.408
1948,2824,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.319,0.197,0.929,0.447
1949,2825,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.388,0.197,0.998,0.483
1950,2826,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.466,0.197,1.076,0.509
1951,2827,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.543,0.197,1.153,0.525
1952,2828,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.621,0.197,1.231,0.536
1953,2829,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.699,0.197,1.309,0.546
1954,2830,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.776,0.197,1.386,0.554
1955,2831,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.854,0.197,1.464,0.561
1956,2832,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.931,0.197,1.541,0.566
1957,2833,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",495,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.41,Ag/AgCl,0.985,0.197,1.595,0.571
1958,2834,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.041,0.197,0.651,0.021
1959,2835,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.11,0.197,0.72,0.058
1960,2836,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.169,0.197,0.779,0.097
1961,2837,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.237,0.197,0.847,0.135
1962,2838,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.314,0.197,0.924,0.164
1963,2839,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.392,0.197,1.002,0.18
1964,2840,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.47,0.197,1.08,0.191
1965,2841,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.547,0.197,1.157,0.198
1966,2842,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.625,0.197,1.235,0.203
1967,2843,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.703,0.197,1.313,0.208
1968,2844,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.78,0.197,1.39,0.212
1969,2845,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.858,0.197,1.468,0.216
1970,2846,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.935,0.197,1.545,0.221
1971,2847,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",496,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.987,0.197,1.597,0.224
1972,2848,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.039,0.197,0.649,-0.004
1973,2849,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.116,0.197,0.726,0.008
1974,2850,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.194,0.197,0.804,0.015
1975,2851,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.272,0.197,0.882,0.02
1976,2852,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.349,0.197,0.959,0.022
1977,2853,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.427,0.197,1.037,0.024
1978,2854,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.504,0.197,1.114,0.024
1979,2855,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.582,0.197,1.192,0.024
1980,2856,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.66,0.197,1.27,0.025
1981,2857,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.737,0.197,1.347,0.025
1982,2858,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.815,0.197,1.425,0.026
1983,2859,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.892,0.197,1.502,0.026
1984,2860,152,"Chen D, Liu Z, Li J, Han L. Fabrication and photoelectrochemical properties of a promising flaky-structured NaInS2 photoelectrode. J Photochem Photobiol A Chem 2018;356:627–32. https://doi.org/10.1016/j.jphotochem.2018.02.011.",497,TiO,Pt wire,Ag/AgCl,1,150,410,100,1,NaCl,1,7,3.18,Ag/AgCl,0.965,0.197,1.575,0.028
2093,3036,72,"Fu Z, Jiang T, Zhang L, Liu B, Wang D, Wang L, et al. Surface treatment with Al3+on a Ti-doped α-Fe 2O3 nanorod array photoanode for efficient photoelectrochemical water splitting. J Mater Chem A 2014;2:13705–12. https://doi.org/10.1039/c4ta02527j.",437,FeO,Pt wire,Ag/AgCl,0.173,500,410,100,0,NaOH,1,13.6,2.07,RHE,1.492,0,1.492,1.485
